experiment,preprocess,metadata,macro_f1,macro_recall,macro_precision,roc_auc,map,brier_score,melanoma_recall,akiec_precision,akiec_recall,akiec_f1,akiec_auc,bcc_precision,bcc_recall,bcc_f1,bcc_auc,bkl_precision,bkl_recall,bkl_f1,bkl_auc,df_precision,df_recall,df_f1,df_auc,mel_precision,mel_recall,mel_f1,mel_auc,nv_precision,nv_recall,nv_f1,nv_auc,vasc_precision,vasc_recall,vasc_f1,vasc_auc
prep_colorconstancy__meta_sex__seed_42,colorconstancy,sex,0.816,0.8544,0.7942,0.9724,0.8815,0.0367,0.7605,0.7288,0.8776,0.7963,0.9883,0.7816,0.8831,0.8293,0.9863,0.7174,0.8,0.7564,0.9525,1.0,0.8235,0.9032,0.9994,0.4903,0.7605,0.5962,0.9252,0.9611,0.836,0.8942,0.9553,0.88,1.0,0.9362,0.9998
prep_colorconstancy__meta_sex__seed_123,colorconstancy,sex,0.7195,0.7985,0.6802,0.9637,0.8329,0.0403,0.7066,0.402,0.8367,0.543,0.9776,0.8657,0.7532,0.8056,0.9905,0.6821,0.6242,0.6519,0.9358,0.5833,0.8235,0.6829,0.9714,0.4856,0.7066,0.5756,0.9136,0.9572,0.8449,0.8976,0.9575,0.7857,1.0,0.88,0.9997
prep_colorconstancy__meta_sex__seed_7,colorconstancy,sex,0.7797,0.8331,0.7384,0.9722,0.8645,0.0346,0.6647,0.6094,0.7959,0.6903,0.9844,0.8046,0.9091,0.8537,0.9913,0.7222,0.7091,0.7156,0.948,0.7895,0.8824,0.8333,0.9992,0.5115,0.6647,0.5781,0.9236,0.946,0.8708,0.9068,0.9591,0.7857,1.0,0.88,1.0
prep_colorconstancy__meta_age+localization__seed_42,colorconstancy,age+localization,0.761,0.8217,0.7309,0.9707,0.8526,0.0426,0.8443,0.5942,0.8367,0.6949,0.9767,0.75,0.8961,0.8166,0.9912,0.7039,0.6485,0.6751,0.9465,0.8667,0.7647,0.8125,0.9918,0.4534,0.8443,0.59,0.9324,0.9701,0.8072,0.8812,0.9565,0.7778,0.9545,0.8571,0.9995
prep_colorconstancy__meta_age+localization__seed_123,colorconstancy,age+localization,0.7475,0.8394,0.6903,0.972,0.865,0.0354,0.6826,0.56,0.8571,0.6774,0.9843,0.7097,0.8571,0.7765,0.9879,0.7083,0.7212,0.7147,0.9517,0.4848,0.9412,0.64,0.9987,0.5787,0.6826,0.6264,0.9258,0.9507,0.8618,0.9041,0.9604,0.84,0.9545,0.8936,0.9954
prep_colorconstancy__meta_age+localization__seed_7,colorconstancy,age+localization,0.773,0.8409,0.7264,0.9702,0.8575,0.0376,0.7305,0.6129,0.7755,0.6847,0.979,0.7333,0.8571,0.7904,0.9852,0.7107,0.6848,0.6975,0.9415,0.68,1.0,0.8095,0.9998,0.4861,0.7305,0.5837,0.9289,0.9451,0.838,0.8883,0.9569,0.9167,1.0,0.9565,0.9999
